date,event_name,session_source,session_medium,session_channel_group,conversions,total_users,sessions,event_count,total_revenue
2025-04-29T00:00:00Z,sign_up,google,organic,Organic Search,16,13,15,68,0.0
2025-04-29T00:00:00Z,sign_up,(direct),(none),Direct,10,8,9,29,0.0
2025-04-29T00:00:00Z,sign_up,google,cpc,Paid Search,5,4,4,13,0.0
2025-04-29T00:00:00Z,sign_up,facebook,social,Organic Social,4,3,4,15,0.0
2025-04-29T00:00:00Z,sign_up,partner-blog.com,referral,Referral,2,1,1,2,0.0
2025-04-29T00:00:00Z,sign_up,mailchimp,email,Email,1,1,1,3,0.0
2025-04-29T00:00:00Z,purchase,google,organic,Organic Search,2,1,1,4,70.18
2025-04-29T00:00:00Z,purchase,(direct),(none),Direct,1,1,1,3,54.55
2025-04-29T00:00:00Z,purchase,google,cpc,Paid Search,1,1,1,2,30.73
2025-04-29T00:00:00Z,purchase,facebook,social,Organic Social,0,1,1,2,0.0
2025-04-29T00:00:00Z,purchase,partner-blog.com,referral,Referral,0,1,1,3,0.0
2025-04-29T00:00:00Z,purchase,mailchimp,email,Email,0,1,1,4,0.0
2025-04-29T00:00:00Z,begin_checkout,google,organic,Organic Search,9,8,10,21,0.0
2025-04-29T00:00:00Z,begin_checkout,(direct),(none),Direct,6,5,6,26,0.0
2025-04-29T00:00:00Z,begin_checkout,google,cpc,Paid Search,4,3,3,14,0.0
2025-04-29T00:00:00Z,begin_checkout,facebook,social,Organic Social,3,2,2,7,0.0
2025-04-29T00:00:00Z,begin_checkout,partner-blog.com,referral,Referral,2,1,1,4,0.0
2025-04-29T00:00:00Z,begin_checkout,mailchimp,email,Email,0,1,1,3,0.0
2025-04-30T00:00:00Z,sign_up,google,organic,Organic Search,15,14,19,52,0.0
2025-04-30T00:00:00Z,sign_up,(direct),(none),Direct,11,9,12,50,0.0
2025-04-30T00:00:00Z,sign_up,google,cpc,Paid Search,5,4,5,12,0.0
2025-04-30T00:00:00Z,sign_up,facebook,social,Organic Social,4,3,4,19,0.0
2025-04-30T00:00:00Z,sign_up,partner-blog.com,referral,Referral,3,2,2,8,0.0
2025-04-30T00:00:00Z,sign_up,mailchimp,email,Email,0,1,1,4,0.0
2025-04-30T00:00:00Z,purchase,google,organic,Organic Search,3,2,2,4,111.04
2025-04-30T00:00:00Z,purchase,(direct),(none),Direct,1,1,1,4,36.64
2025-04-30T00:00:00Z,purchase,google,cpc,Paid Search,0,1,1,2,0.0
